Order ID,Order Date,Customer Name,Region,State,Category,Product Name,Quantity,Sales,Profit,Discount,Year,Month
ORD00001,2024-07-12,Breanna Riley,North,Haryana,Office Supplies,Pen,5,1262.21,107.14,0.03,2024,July
ORD00002,2024-07-28,Joseph Scott,West,Maharashtra,Technology,Monitor,1,513.79,55.57,0.18,2024,July
ORD00003,2023-06-13,Kayla Houston,West,Maharashtra,Technology,Monitor,8,2966.87,748.71,0.0,2023,June
ORD00004,2024-01-25,Dylan Harris,East,Odisha,Office Supplies,Paper,3,1115.8,268.77,0.03,2024,January
ORD00005,2024-01-23,Michael Jackson,East,Bihar,Technology,Tablet,5,4045.28,940.26,0.16,2024,January
ORD00006,2023-03-13,Nicole Garner,East,Bihar,Technology,Monitor,10,4432.99,622.43,0.06,2023,March
ORD00007,2024-01-09,Michael Jackson,East,West Bengal,Technology,Smartphone,4,4339.09,629.3,0.14,2024,January
ORD00008,2024-10-12,James Vargas,East,West Bengal,Technology,Tablet,5,3524.01,778.41,0.02,2024,October
ORD00009,2024-07-24,Kenneth Nash,South,Karnataka,Technology,Monitor,8,1928.3,573.44,0.19,2024,July
ORD00010,2024-08-03,Jonathon Cummings,North,Delhi,Technology,Tablet,1,4034.98,606.42,0.02,2024,August
ORD00011,2023-09-29,Thomas Bennett,South,Kerala,Office Supplies,Stapler,8,2008.38,559.61,0.14,2023,September
ORD00012,2023-05-22,Daniel Harrison,East,Bihar,Technology,Smartphone,10,2170.75,425.21,0.11,2023,May
ORD00013,2024-09-02,Timothy Ingram,North,Delhi,Office Supplies,Paper,2,806.56,72.59,0.2,2024,September
ORD00014,2023-01-12,Lisa Richardson,West,Rajasthan,Technology,Printer,8,2669.12,781.44,0.26,2023,January
ORD00015,2023-09-27,Arthur Hill,East,Bihar,Office Supplies,Pen,6,602.18,95.56,0.14,2023,September
ORD00016,2024-01-18,David Fisher,North,Haryana,Office Supplies,Notebook,5,4216.26,745.92,0.06,2024,January
ORD00017,2023-11-11,Michael Wilkerson,North,Haryana,Technology,Monitor,6,2468.6,192.47,0.11,2023,November
ORD00018,2024-06-29,Jill Arnold,South,Kerala,Technology,Laptop,2,473.98,81.29,0.02,2024,June
ORD00019,2023-08-05,Hayden Powell,West,Rajasthan,Technology,Smartphone,3,1362.03,365.17,0.13,2023,August
ORD00020,2023-08-19,Elizabeth Perez,East,Odisha,Office Supplies,Notebook,6,2218.6,398.0,0.04,2023,August
ORD00021,2024-10-08,Tasha Buchanan,North,Haryana,Technology,Tablet,9,1189.07,124.92,0.02,2024,October
ORD00022,2023-08-08,Cory Thomas,North,Delhi,Technology,Smartphone,6,400.74,43.88,0.2,2023,August
ORD00023,2024-03-17,Robert Olson,West,Maharashtra,Office Supplies,Notebook,8,4047.11,395.01,0.03,2024,March
ORD00024,2024-02-17,Shelly Moore,West,Gujarat,Furniture,Bookcase,1,3383.15,1001.55,0.03,2024,February
ORD00025,2023-10-13,Christopher West,North,Delhi,Office Supplies,Stapler,4,991.53,160.78,0.13,2023,October
ORD00026,2023-01-16,Margaret Ochoa,North,Punjab,Furniture,Desk,9,534.65,113.9,0.16,2023,January
ORD00027,2023-06-18,Erin Brown,South,Tamil Nadu,Technology,Smartphone,8,2432.72,647.5,0.27,2023,June
ORD00028,2024-07-23,Debra Turner,West,Gujarat,Furniture,Chair,8,1461.98,327.7,0.22,2024,July
ORD00029,2023-03-04,Thomas Carpenter,South,Karnataka,Office Supplies,Paper,5,1127.62,72.87,0.22,2023,March
ORD00030,2023-02-28,Holly Gonzales,North,Delhi,Office Supplies,Stapler,10,2410.1,674.46,0.16,2023,February
